,Touc,Touc,Touc
Team,Def 3rd,Mid 3rd,Att 3rd
Arsenal,2642,4171,3016
Aston Villa,3037,3933,2268
Bournemouth,2654,3681,2555
Brentford,3793,3418,2143
Brighton,3303,4466,2512
Chelsea,3284,4683,2666
Crystal Palace,3195,3717,1972
Everton,2608,3065,1918
Fulham,3292,3980,2625
Ipswich Town,3265,3334,1857
Leicester City,3498,4063,1750
Liverpool,3091,4566,2579
Manchester City,2598,4891,4742
Manchester Utd,3701,4656,2326
Newcastle Utd,3280,3944,2481
Nott'ham Forest,2642,3155,2334
Southampton,3987,4351,2083
Tottenham,3258,4404,3134
West Ham,3211,3975,2195
Wolves,3311,3907,1778
